3,111,2
0,165,2
0,146,9
1,155,1
0,169,8
1,156,2
1,151,5
1,142,2
1,157,1
0,118,1
1,133,2
1,150,1
0,141,1
1,128,2
1,138,8
1,139,1
0,140,7
1,108,2
1,145,10
1,144,3
1,145,3
2,134,6
0,145,6
0,114,1
1,128,1
1,150,2
0,133,2
1,114,0
0,132,1
1,126,2
0,124,2
0,131,3
0,113,0
1,117,10
1,143,3
0,141,1
0,116,5
1,128,6
0,122,6
1,134,1
0,122,1
0,135,0
0,145,0
0,118,1
0,115,1
0,125,2
1,151,1
0,123,1
1,122,1
1,116,2
0,119,1
0,118,0
1,120,1
1,134,2
1,106,1
1,111,1
0,140,1
0,118,1
0,133,3
1,132,1
1,124,1
0,136,1
0,122,1
0,129,1
0,113,1
0,121,1
0,132,8
1,132,1
0,139,1
1,134,3
0,118,2
1,122,1
1,132,1
1,143,1
0,116,0
1,114,1
1,123,2
1,141,1
0,125,1
1,116,1
1,123,1
1,112,1
0,123,1
1,140,3
2,132,1
1,154,1
1,113,1
1,131,1
0,122,1
0,134,1
0,119,4
0,135,1
1,127,0
1,132,1
1,130,1
0,135,2
1,135,0
1,146,1
1,131,1
0,124,0
1,127,1
0,126,4
0,117,0
1,134,0
0,116,1
1,137,0
1,129,1
0,135,1
1,150,0
0,119,1
1,119,0
0,123,3
1,118,1
1,122,2
1,120,1
