10,0,84,0,149,6
16,0,85,0,2,4
9,0,67,0,3,2
31,0,83,0,9,2
12,0,49,0,3,1
14,0,80,0,1,1
15,0,58,0,2,3
11,0,43,0,2,1
15,0,71,0,16,10
8,0,55,0,1,1
12,0,58,0,1,9
11,0,57,0,2,1
19,0,73,0,4,3
12,0,59,0,4,5
12,0,48,0,2,1
5,0,61,0,1,2
12,0,60,0,2,1
10,0,58,0,1,1
11,0,59,0,1,1
8,0,67,0,1,1
12,0,76,0,2,1
10,0,58,0,3,1
10,0,52,0,2,1
5,0,57,0,5,3
14,0,73,0,1,2
15,0,61,0,4,3
10,0,64,0,2,2
10,0,69,0,1,2
11,0,61,0,1,2
11,0,58,0,2,2
34,0,67,0,1,2
11,0,52,0,2,1
9,0,50,0,1,1
9,0,61,0,2,11
11,0,52,0,1,2
10,0,63,0,1,1
10,0,55,0,2,12
10,0,67,0,5,6
9,0,63,0,2,1
10,0,46,0,1,1
12,0,57,0,2,9
9,0,57,0,1,1
9,0,63,0,7,3
10,0,53,0,1,1
9,0,64,0,2,1
9,0,62,0,2,9
9,0,54,0,1,1
5,0,44,0,1,1
10,0,57,0,2,0
11,0,64,0,1,1
7,0,56,0,1,1
11,0,55,0,2,1
18,0,78,0,2,1
12,0,51,0,2,3
11,0,61,0,1,1
10,0,54,0,2,1
9,0,61,0,1,1
12,0,58,0,2,1
15,0,62,0,2,2
8,0,59,0,2,1
8,0,48,0,2,1
10,0,49,0,2,1
12,0,54,0,2,1
10,0,60,0,2,2
9,0,71,0,3,1
10,0,60,0,1,1
9,0,54,0,1,1
8,0,62,0,1,1
9,0,52,0,1,1
16,0,53,0,2,1
9,0,54,0,1,2
5,0,60,0,1,0
5,0,49,0,1,0
16,0,49,0,1,2
9,0,59,0,2,1
17,0,66,0,0,2
6,0,63,0,3,1
8,0,59,0,2,2
13,0,47,0,1,1
10,0,55,0,1,3
10,0,56,0,1,9
9,0,62,0,1,0
12,0,56,0,2,1
10,0,55,0,1,1
10,0,50,0,1,1
11,0,59,0,2,1
18,0,85,0,1,1
8,0,51,0,1,1
11,0,56,0,2,1
4,0,44,0,0,1
8,0,54,0,1,1
4,0,47,0,1,1
13,0,56,0,1,0
9,0,58,0,1,1
18,0,63,0,9,1
8,0,59,0,2,2
15,0,66,0,2,0
16,0,60,0,1,0
8,0,61,0,1,1
11,0,55,0,1,1
5,0,48,0,2,1
16,0,57,0,1,1
10,0,62,0,1,1
16,0,57,0,1,1
10,0,73,0,2,1
14,0,60,0,2,1
9,0,61,0,1,1
6,0,55,0,1,1
4,0,65,0,1,1
10,0,63,0,1,0
15,0,58,0,2,1
9,0,57,0,2,0
11,0,64,0,1,1
17,0,59,0,3,1
8,0,62,0,1,2
4,0,66,0,1,1
8,0,60,0,1,1
9,0,52,0,4,3
13,0,65,0,2,1
11,0,55,0,1,1
8,0,56,0,1,1
9,0,76,0,1,1
9,0,50,0,4,6
9,0,58,0,0,1
9,0,57,0,1,2
6,0,52,0,1,0
7,0,70,0,2,1
8,0,55,0,1,1
7,0,53,0,1,0
8,0,74,0,1,1
4,0,50,0,1,0
9,0,58,0,2,1
8,0,58,0,1,1
10,0,49,0,1,0
8,0,64,0,0,1
15,0,49,0,1,0
9,0,58,0,1,1
9,0,53,0,1,0
8,0,54,0,1,4
11,0,60,0,1,1
19,0,84,0,1,5
