12,1482,1784,117,154,7
8,1465,1507,62,4,2
20,1475,1336,27,3,2
13,1424,1103,23,1,3
22,1353,1114,25,1,1
21,1381,1107,30,3,9
11,1424,1607,22,2,1
19,1391,1711,30,7,2
11,1410,1205,26,2,2
8,1343,1154,26,3,2
10,1475,2104,25,1,1
10,1357,1129,30,3,3
10,1411,1312,37,3,2
20,1407,1087,29,7,9
12,1571,3081,22,2,0
9,1607,1281,20,4,1
12,2203,1184,26,2,2
16,1449,1134,17,3,1
21,1367,1037,29,2,2
9,1444,1149,28,4,3
11,1412,1194,20,2,1
9,1892,2165,17,1,2
9,1303,1307,32,3,12
10,1351,1111,19,1,1
27,1386,1114,22,3,2
16,1342,1067,23,2,1
10,1389,1246,19,2,1
9,1358,1080,20,1,1
12,1473,2404,24,2,1
15,1435,1299,22,1,1
10,1350,1197,15,1,1
8,1353,1059,22,2,1
11,1566,1127,34,2,1
9,1345,1163,14,2,1
12,1347,1044,27,1,1
9,1495,2096,14,1,1
19,1422,1161,12,1,1
8,1369,1171,11,3,1
9,1413,1046,16,2,1
5,1381,1048,31,1,2
